Normal loss: 1.9329, Plan similarity: 0.1982, Random contrast: 0.6719
Normal loss: 2.1266, Plan similarity: 0.4668, Random contrast: 0.5508
Normal loss: 1.8576, Plan similarity: 0.1138, Random contrast: 0.6836
Normal loss: 1.6276, Plan similarity: 0.1816, Random contrast: 0.6797
Normal loss: 1.7201, Plan similarity: 0.1436, Random contrast: 0.6797
Normal loss: 1.8520, Plan similarity: 0.2334, Random contrast: 0.4473
Normal loss: 1.6301, Plan similarity: 0.1387, Random contrast: 0.6836
Normal loss: 1.5038, Plan similarity: 0.1270, Random contrast: 0.6719
Normal loss: 1.5657, Plan similarity: 1.0391, Random contrast: 0.6172
Normal loss: 1.4327, Plan similarity: 0.0781, Random contrast: 0.6875
Normal loss: 1.5114, Plan similarity: 4.2188, Random contrast: 0.6250
Normal loss: 1.4427, Plan similarity: 0.0270, Random contrast: 0.6875
Normal loss: 1.2344, Plan similarity: 0.0498, Random contrast: 0.6875
Normal loss: 1.2025, Plan similarity: 1.2500, Random contrast: 0.6641
Normal loss: 1.3416, Plan similarity: 0.0278, Random contrast: 0.6914
Normal loss: 1.3000, Plan similarity: 0.0317, Random contrast: 0.6914
Normal loss: 1.2859, Plan similarity: 0.0496, Random contrast: 0.6914
Normal loss: 1.1549, Plan similarity: 0.0425, Random contrast: 0.6914
Normal loss: 1.2464, Plan similarity: 7.0312, Random contrast: 0.6875
Normal loss: 1.3179, Plan similarity: 2.2969, Random contrast: 0.6914
Normal loss: 1.0640, Plan similarity: 0.0654, Random contrast: 0.6914
Normal loss: 1.0518, Plan similarity: 1.3750, Random contrast: 0.6914
Normal loss: 1.1180, Plan similarity: 0.0269, Random contrast: 0.6914
Normal loss: 1.1214, Plan similarity: 0.0435, Random contrast: 0.6914
Normal loss: 1.0238, Plan similarity: 0.0376, Random contrast: 0.6914
Normal loss: 0.9505, Plan similarity: 0.0129, Random contrast: 0.6914
Normal loss: 1.0510, Plan similarity: 0.0684, Random contrast: 0.6914
Normal loss: 1.1239, Plan similarity: 0.0449, Random contrast: 0.6914
Normal loss: 1.0435, Plan similarity: 0.7734, Random contrast: 0.6914
Normal loss: 1.0035, Plan similarity: 0.0623, Random contrast: 0.6914
Normal loss: 1.0847, Plan similarity: 3.3438, Random contrast: 0.6914
Normal loss: 1.0185, Plan similarity: 0.0522, Random contrast: 0.6914
Normal loss: 1.0271, Plan similarity: 0.0186, Random contrast: 0.6914
Normal loss: 0.9375, Plan similarity: 3.4531, Random contrast: 0.6914
Normal loss: 0.7973, Plan similarity: 1.7969, Random contrast: 0.6914
Normal loss: 0.9473, Plan similarity: 2.2969, Random contrast: 0.6914
Normal loss: 0.9162, Plan similarity: 0.0437, Random contrast: 0.6914
Normal loss: 0.8788, Plan similarity: 0.0393, Random contrast: 0.6914
Normal loss: 0.7272, Plan similarity: 0.0537, Random contrast: 0.6914
Normal loss: 0.8234, Plan similarity: 3.0469, Random contrast: 0.6914
Normal loss: 0.8911, Plan similarity: 3.2656, Random contrast: 0.6875
Normal loss: 0.8146, Plan similarity: 0.0498, Random contrast: 0.6914
Normal loss: 0.7065, Plan similarity: 0.0186, Random contrast: 0.6914
Normal loss: 0.7570, Plan similarity: 0.0337, Random contrast: 0.6914
Normal loss: 0.7179, Plan similarity: 1.5156, Random contrast: 0.6914
Normal loss: 0.7965, Plan similarity: 0.0488, Random contrast: 0.6914
Normal loss: 0.7044, Plan similarity: 6.5000, Random contrast: 0.6914
Normal loss: 0.6471, Plan similarity: 0.0454, Random contrast: 0.6914
Normal loss: 0.7174, Plan similarity: 2.5312, Random contrast: 0.6914
Normal loss: 0.7056, Plan similarity: 0.0247, Random contrast: 0.6875
Normal loss: 0.5981, Plan similarity: 0.0574, Random contrast: 0.6875
Normal loss: 0.6251, Plan similarity: 0.0322, Random contrast: 0.6875
Normal loss: 0.6559, Plan similarity: 0.0171, Random contrast: 0.6914
Normal loss: 0.5907, Plan similarity: 0.0698, Random contrast: 0.6914
Normal loss: 0.5479, Plan similarity: 0.0222, Random contrast: 0.6914
Normal loss: 0.5936, Plan similarity: 0.0522, Random contrast: 0.6914
Normal loss: 0.6258, Plan similarity: 0.9922, Random contrast: 0.6875
Normal loss: 0.6322, Plan similarity: 0.0344, Random contrast: 0.6914
Normal loss: 0.5110, Plan similarity: 0.0273, Random contrast: 0.6914
Normal loss: 0.5862, Plan similarity: 0.0579, Random contrast: 0.6914
Normal loss: 0.4857, Plan similarity: 0.0491, Random contrast: 0.6875
Normal loss: 0.6159, Plan similarity: 0.0339, Random contrast: 0.6914
Normal loss: 0.5470, Plan similarity: 0.0415, Random contrast: 0.6914
Normal loss: 0.7398, Plan similarity: 0.0172, Random contrast: 0.6914
Normal loss: 0.6584, Plan similarity: 0.0330, Random contrast: 0.6914
Normal loss: 0.5440, Plan similarity: 0.0337, Random contrast: 0.6875
Normal loss: 0.5280, Plan similarity: 0.0330, Random contrast: 0.6875
Normal loss: 0.4529, Plan similarity: 2.7812, Random contrast: 0.6914
Normal loss: 0.5224, Plan similarity: 0.0486, Random contrast: 0.6914
Normal loss: 0.4979, Plan similarity: 1.4766, Random contrast: 0.6914
Normal loss: 0.5564, Plan similarity: 0.7070, Random contrast: 0.6875
Normal loss: 0.3854, Plan similarity: 0.0623, Random contrast: 0.6914
Normal loss: 0.3839, Plan similarity: 0.0366, Random contrast: 0.6914
Normal loss: 0.4663, Plan similarity: 0.0364, Random contrast: 0.6914
Normal loss: 0.4854, Plan similarity: 2.6719, Random contrast: 0.6914
Normal loss: 0.4665, Plan similarity: 0.0454, Random contrast: 0.6875
Normal loss: 0.4862, Plan similarity: 0.0269, Random contrast: 0.6914
Normal loss: 0.4079, Plan similarity: 0.0361, Random contrast: 0.6875
Normal loss: 0.5004, Plan similarity: 0.0251, Random contrast: 0.6875
Normal loss: 0.4169, Plan similarity: 3.3438, Random contrast: 0.6914
Normal loss: 0.5009, Plan similarity: 0.9375, Random contrast: 0.6914
Normal loss: 0.3600, Plan similarity: 0.0304, Random contrast: 0.6914
Normal loss: 0.5028, Plan similarity: 3.0781, Random contrast: 0.6914
Normal loss: 0.4794, Plan similarity: 0.0332, Random contrast: 0.6875
Normal loss: 0.4173, Plan similarity: 1.9688, Random contrast: 0.6914
Normal loss: 0.4324, Plan similarity: 0.0214, Random contrast: 0.6914
Normal loss: 0.4827, Plan similarity: 2.4688, Random contrast: 0.6914
Normal loss: 0.5356, Plan similarity: 0.0432, Random contrast: 0.6914
Normal loss: 0.5102, Plan similarity: 0.0300, Random contrast: 0.6914
Normal loss: 0.5600, Plan similarity: 0.0330, Random contrast: 0.6914
Normal loss: 0.6084, Plan similarity: 0.0205, Random contrast: 0.6914
Normal loss: 0.4373, Plan similarity: 0.0410, Random contrast: 0.6875
Normal loss: 0.4869, Plan similarity: 0.0371, Random contrast: 0.6875
Normal loss: 0.4173, Plan similarity: 0.0361, Random contrast: 0.6914
Normal loss: 0.4137, Plan similarity: 0.1953, Random contrast: 0.6914
Normal loss: 0.4681, Plan similarity: 0.0315, Random contrast: 0.6914
Normal loss: 0.3855, Plan similarity: 0.0581, Random contrast: 0.6914
Normal loss: 0.4419, Plan similarity: 0.0175, Random contrast: 0.6914
Normal loss: 0.2952, Plan similarity: 0.0415, Random contrast: 0.6914
Normal loss: 0.4652, Plan similarity: 0.0405, Random contrast: 0.6914
Normal loss: 0.5003, Plan similarity: 0.5859, Random contrast: 0.6914
Normal loss: 0.3921, Plan similarity: 0.7812, Random contrast: 0.6875
Normal loss: 0.5103, Plan similarity: 2.5781, Random contrast: 0.6875
Normal loss: 0.4261, Plan similarity: 0.0225, Random contrast: 0.6875
Normal loss: 0.3782, Plan similarity: 0.7305, Random contrast: 0.6914
Normal loss: 0.4987, Plan similarity: 5.6875, Random contrast: 0.6914
Normal loss: 0.3756, Plan similarity: 0.9336, Random contrast: 0.6875
Normal loss: 0.4779, Plan similarity: 0.0142, Random contrast: 0.6914
Normal loss: 0.3202, Plan similarity: 0.0459, Random contrast: 0.6875
Normal loss: 0.4343, Plan similarity: 1.4609, Random contrast: 0.6875
Normal loss: 0.3214, Plan similarity: 0.0562, Random contrast: 0.6875
Normal loss: 0.4545, Plan similarity: 0.3027, Random contrast: 0.6875
Normal loss: 0.4662, Plan similarity: 0.0332, Random contrast: 0.6914
Normal loss: 0.5485, Plan similarity: 1.4219, Random contrast: 0.6914
Normal loss: 0.4567, Plan similarity: 6.2188, Random contrast: 0.6875
Normal loss: 0.3985, Plan similarity: 0.0552, Random contrast: 0.6875
Normal loss: 0.3670, Plan similarity: 2.6719, Random contrast: 0.6875
Normal loss: 0.3756, Plan similarity: 2.4375, Random contrast: 0.6914
Normal loss: 0.4090, Plan similarity: 0.0410, Random contrast: 0.6875
Normal loss: 0.2940, Plan similarity: 0.0454, Random contrast: 0.6875
Normal loss: 0.3040, Plan similarity: 0.0508, Random contrast: 0.6914
Normal loss: 0.4608, Plan similarity: 0.5781, Random contrast: 0.6875
Normal loss: 0.4058, Plan similarity: 0.0635, Random contrast: 0.6875
Normal loss: 0.4555, Plan similarity: 0.0354, Random contrast: 0.6875
Normal loss: 0.3618, Plan similarity: 0.0413, Random contrast: 0.6875
Normal loss: 0.5209, Plan similarity: 0.0598, Random contrast: 0.6875
Normal loss: 0.4560, Plan similarity: 1.8047, Random contrast: 0.6875
Normal loss: 0.3831, Plan similarity: 0.0266, Random contrast: 0.6875
Normal loss: 0.4132, Plan similarity: 0.0557, Random contrast: 0.6914
Normal loss: 0.3721, Plan similarity: 6.7188, Random contrast: 0.6875
Normal loss: 0.4746, Plan similarity: 0.0491, Random contrast: 0.6875
Normal loss: 0.3697, Plan similarity: 0.0378, Random contrast: 0.6875
Normal loss: 0.4353, Plan similarity: 0.0781, Random contrast: 0.6875
Normal loss: 0.3354, Plan similarity: 2.2969, Random contrast: 0.6875
Normal loss: 0.3840, Plan similarity: 0.6094, Random contrast: 0.6875
Normal loss: 0.3717, Plan similarity: 0.0537, Random contrast: 0.6914
Normal loss: 0.5359, Plan similarity: 0.0444, Random contrast: 0.6875
Normal loss: 0.3484, Plan similarity: 2.5000, Random contrast: 0.6875
Normal loss: 0.3667, Plan similarity: 0.0530, Random contrast: 0.6836
Normal loss: 0.3955, Plan similarity: 0.0481, Random contrast: 0.6875
Normal loss: 0.3259, Plan similarity: 0.0625, Random contrast: 0.6875
Normal loss: 0.4847, Plan similarity: 0.2344, Random contrast: 0.6875
Normal loss: 0.3060, Plan similarity: 0.0420, Random contrast: 0.6797
Normal loss: 0.4806, Plan similarity: 2.6562, Random contrast: 0.6875
Normal loss: 0.4027, Plan similarity: 0.0344, Random contrast: 0.6875
Normal loss: 0.6233, Plan similarity: 0.0698, Random contrast: 0.6875
Normal loss: 0.3551, Plan similarity: 0.0645, Random contrast: 0.6875
Normal loss: 0.4560, Plan similarity: 0.0615, Random contrast: 0.6875
Normal loss: 0.4778, Plan similarity: 0.2734, Random contrast: 0.6875
Normal loss: 0.3444, Plan similarity: 0.1973, Random contrast: 0.5625
Normal loss: 0.3651, Plan similarity: 0.1367, Random contrast: 0.4648
Normal loss: 0.4148, Plan similarity: 1.1562, Random contrast: 0.3672
Normal loss: 0.3389, Plan similarity: 0.9688, Random contrast: 0.6914
Normal loss: 0.3555, Plan similarity: 0.6055, Random contrast: 0.2344
Normal loss: 0.6194, Plan similarity: 0.0396, Random contrast: 0.6875
Normal loss: 0.3675, Plan similarity: 2.6562, Random contrast: 0.6875
Normal loss: 0.4045, Plan similarity: 0.0199, Random contrast: 0.6875
Normal loss: 0.4465, Plan similarity: 0.0811, Random contrast: 0.6875
Normal loss: 0.2918, Plan similarity: 2.9531, Random contrast: 0.6875
Normal loss: 0.3628, Plan similarity: 0.1172, Random contrast: 0.6250
Normal loss: 0.4048, Plan similarity: 0.1040, Random contrast: 0.5938
Normal loss: 0.3936, Plan similarity: 0.0576, Random contrast: 0.6797
Normal loss: 0.7999, Plan similarity: 0.3164, Random contrast: 0.5312
Normal loss: 6.1667, Plan similarity: 4.5312, Random contrast: 0.6055
Normal loss: 0.6410, Plan similarity: 2.9375, Random contrast: 0.5781
Normal loss: 0.8146, Plan similarity: 0.2256, Random contrast: 0.6406
Normal loss: 1.5267, Plan similarity: 0.7070, Random contrast: 0.3262
Normal loss: 0.8308, Plan similarity: 0.4805, Random contrast: 0.6641
Normal loss: 1.2419, Plan similarity: 3.2344, Random contrast: 0.5391
Normal loss: 0.5158, Plan similarity: 0.1533, Random contrast: 0.6641
Normal loss: 0.4089, Plan similarity: 7.6562, Random contrast: 0.6562
Normal loss: 0.4408, Plan similarity: 0.0996, Random contrast: 0.6641
Normal loss: 0.3725, Plan similarity: 0.0879, Random contrast: 0.6758
Normal loss: 0.5383, Plan similarity: 3.2656, Random contrast: 0.6875
Normal loss: 0.4113, Plan similarity: 0.0654, Random contrast: 0.6797
Normal loss: 0.4239, Plan similarity: 3.5938, Random contrast: 0.6836
Normal loss: 0.4759, Plan similarity: 0.1143, Random contrast: 0.6797
Normal loss: 0.3905, Plan similarity: 0.0664, Random contrast: 0.6875
Normal loss: 0.2870, Plan similarity: 0.0684, Random contrast: 0.6875
Normal loss: 0.3776, Plan similarity: 0.2363, Random contrast: 0.6797
Normal loss: 0.5091, Plan similarity: 0.3125, Random contrast: 0.5703
Normal loss: 0.3774, Plan similarity: 0.0986, Random contrast: 0.6562
Normal loss: 0.4014, Plan similarity: 0.0498, Random contrast: 0.6875
Normal loss: 0.8591, Plan similarity: 0.3945, Random contrast: 0.6797
Normal loss: 0.5396, Plan similarity: 0.2285, Random contrast: 0.6680
Normal loss: 0.4305, Plan similarity: 0.1157, Random contrast: 0.6875
Normal loss: 0.2589, Plan similarity: 0.3398, Random contrast: 0.6797
Normal loss: 0.4465, Plan similarity: 0.2480, Random contrast: 0.6641
Normal loss: 0.3700, Plan similarity: 0.3672, Random contrast: 0.6484
Normal loss: 0.4042, Plan similarity: 0.2227, Random contrast: 0.6797
Normal loss: 0.3297, Plan similarity: 0.2207, Random contrast: 0.6328
Normal loss: 0.5721, Plan similarity: 0.2520, Random contrast: 0.6562
Normal loss: 0.3688, Plan similarity: 0.2656, Random contrast: 0.6562
Normal loss: 0.4321, Plan similarity: 1.3438, Random contrast: 0.6406
Normal loss: 0.4405, Plan similarity: 5.4375, Random contrast: 0.6094
