Normal loss: 1.9329, Plan similarity: 0.1982, Random contrast: 0.6719
Normal loss: 2.1486, Plan similarity: 0.4902, Random contrast: 0.5547
Normal loss: 1.8680, Plan similarity: 0.1226, Random contrast: 0.6797
Normal loss: 1.6049, Plan similarity: 0.1611, Random contrast: 0.6797
Normal loss: 1.6841, Plan similarity: 0.1201, Random contrast: 0.6836
Normal loss: 1.7316, Plan similarity: 0.1436, Random contrast: 0.5273
Normal loss: 1.6031, Plan similarity: 0.1289, Random contrast: 0.6836
Normal loss: 1.4696, Plan similarity: 0.0859, Random contrast: 0.6875
Normal loss: 1.4770, Plan similarity: 0.9180, Random contrast: 0.6758
Normal loss: 1.4741, Plan similarity: 0.0752, Random contrast: 0.6875
Normal loss: 1.3266, Plan similarity: 4.5000, Random contrast: 0.6875
Normal loss: 1.4336, Plan similarity: 0.0227, Random contrast: 0.6875
Normal loss: 1.2476, Plan similarity: 0.0469, Random contrast: 0.6875
Normal loss: 1.1813, Plan similarity: 1.1953, Random contrast: 0.6914
Normal loss: 1.3423, Plan similarity: 0.0276, Random contrast: 0.6914
Normal loss: 1.3018, Plan similarity: 0.0259, Random contrast: 0.6914
Normal loss: 1.3564, Plan similarity: 0.2227, Random contrast: 0.5469
Normal loss: 1.1501, Plan similarity: 0.0342, Random contrast: 0.6914
Normal loss: 1.2428, Plan similarity: 6.7812, Random contrast: 0.6875
Normal loss: 1.3117, Plan similarity: 2.2344, Random contrast: 0.6914
Normal loss: 1.0683, Plan similarity: 0.0615, Random contrast: 0.6914
Normal loss: 1.0497, Plan similarity: 1.3281, Random contrast: 0.6875
Normal loss: 1.1176, Plan similarity: 0.0305, Random contrast: 0.6875
Normal loss: 1.1169, Plan similarity: 0.0410, Random contrast: 0.6797
Normal loss: 1.0199, Plan similarity: 0.0396, Random contrast: 0.6914
Normal loss: 0.9525, Plan similarity: 0.0171, Random contrast: 0.6914
Normal loss: 1.0580, Plan similarity: 0.0693, Random contrast: 0.6914
Normal loss: 1.1249, Plan similarity: 0.0439, Random contrast: 0.6914
Normal loss: 1.0459, Plan similarity: 0.7812, Random contrast: 0.6914
Normal loss: 1.0007, Plan similarity: 0.0615, Random contrast: 0.6914
Normal loss: 1.0930, Plan similarity: 3.4375, Random contrast: 0.6914
Normal loss: 1.0101, Plan similarity: 0.0471, Random contrast: 0.6914
Normal loss: 1.0265, Plan similarity: 0.0171, Random contrast: 0.6914
Normal loss: 0.9397, Plan similarity: 3.5469, Random contrast: 0.6914
Normal loss: 0.7964, Plan similarity: 1.7969, Random contrast: 0.6914
Normal loss: 0.9424, Plan similarity: 2.2969, Random contrast: 0.6914
Normal loss: 0.9169, Plan similarity: 0.0226, Random contrast: 0.6914
Normal loss: 0.8743, Plan similarity: 0.0405, Random contrast: 0.6914
Normal loss: 0.7299, Plan similarity: 0.0361, Random contrast: 0.6914
Normal loss: 0.8225, Plan similarity: 2.9844, Random contrast: 0.6914
Normal loss: 0.8905, Plan similarity: 3.1875, Random contrast: 0.6875
Normal loss: 0.8163, Plan similarity: 0.0527, Random contrast: 0.6914
Normal loss: 0.7025, Plan similarity: 0.0188, Random contrast: 0.6914
Normal loss: 0.7523, Plan similarity: 0.0396, Random contrast: 0.6914
Normal loss: 0.6985, Plan similarity: 1.4844, Random contrast: 0.6914
Normal loss: 0.8004, Plan similarity: 0.0513, Random contrast: 0.6914
Normal loss: 0.7047, Plan similarity: 6.3125, Random contrast: 0.6914
Normal loss: 0.6463, Plan similarity: 0.0479, Random contrast: 0.6914
Normal loss: 0.7131, Plan similarity: 2.5312, Random contrast: 0.6914
Normal loss: 0.7082, Plan similarity: 0.0237, Random contrast: 0.6914
Normal loss: 0.6046, Plan similarity: 0.0630, Random contrast: 0.6875
Normal loss: 0.6284, Plan similarity: 0.0337, Random contrast: 0.6875
Normal loss: 0.6520, Plan similarity: 0.0194, Random contrast: 0.6914
Normal loss: 0.5922, Plan similarity: 0.0776, Random contrast: 0.6914
Normal loss: 0.5559, Plan similarity: 0.0223, Random contrast: 0.6914
Normal loss: 0.5978, Plan similarity: 0.0552, Random contrast: 0.6914
Normal loss: 0.6277, Plan similarity: 1.0234, Random contrast: 0.6875
Normal loss: 0.6350, Plan similarity: 0.0396, Random contrast: 0.6914
Normal loss: 0.5188, Plan similarity: 0.0352, Random contrast: 0.6914
Normal loss: 0.5899, Plan similarity: 0.0674, Random contrast: 0.6914
Normal loss: 0.4860, Plan similarity: 0.0498, Random contrast: 0.6875
Normal loss: 0.6174, Plan similarity: 0.0391, Random contrast: 0.6914
Normal loss: 0.5490, Plan similarity: 0.0469, Random contrast: 0.6914
Normal loss: 0.7222, Plan similarity: 0.0176, Random contrast: 0.6914
Normal loss: 0.6625, Plan similarity: 0.0361, Random contrast: 0.6875
Normal loss: 0.5465, Plan similarity: 0.0356, Random contrast: 0.6914
Normal loss: 0.5266, Plan similarity: 0.0305, Random contrast: 0.6914
Normal loss: 0.4587, Plan similarity: 2.8594, Random contrast: 0.6914
Normal loss: 0.5354, Plan similarity: 0.0532, Random contrast: 0.6914
Normal loss: 0.4824, Plan similarity: 1.5078, Random contrast: 0.6914
Normal loss: 0.5504, Plan similarity: 0.7031, Random contrast: 0.6875
Normal loss: 0.3857, Plan similarity: 0.0562, Random contrast: 0.6914
Normal loss: 0.3806, Plan similarity: 0.0408, Random contrast: 0.6914
Normal loss: 0.4775, Plan similarity: 0.0430, Random contrast: 0.6914
Normal loss: 0.4914, Plan similarity: 2.6562, Random contrast: 0.6914
Normal loss: 0.4727, Plan similarity: 0.0605, Random contrast: 0.6914
Normal loss: 0.4868, Plan similarity: 0.0177, Random contrast: 0.6914
Normal loss: 0.4114, Plan similarity: 0.0430, Random contrast: 0.6914
Normal loss: 0.5128, Plan similarity: 0.0239, Random contrast: 0.6914
Normal loss: 0.4193, Plan similarity: 3.2344, Random contrast: 0.6914
Normal loss: 0.5059, Plan similarity: 0.9258, Random contrast: 0.6875
Normal loss: 0.3708, Plan similarity: 0.0317, Random contrast: 0.6875
Normal loss: 0.5052, Plan similarity: 2.8906, Random contrast: 0.6875
Normal loss: 0.4836, Plan similarity: 0.0405, Random contrast: 0.6875
Normal loss: 0.4289, Plan similarity: 1.8594, Random contrast: 0.6875
Normal loss: 0.4605, Plan similarity: 0.0425, Random contrast: 0.6875
Normal loss: 0.5055, Plan similarity: 2.4219, Random contrast: 0.6914
Normal loss: 0.5482, Plan similarity: 0.0752, Random contrast: 0.6875
Normal loss: 0.5189, Plan similarity: 0.0898, Random contrast: 0.6875
Normal loss: 0.5756, Plan similarity: 0.0469, Random contrast: 0.6875
Normal loss: 0.6225, Plan similarity: 0.1211, Random contrast: 0.6875
Normal loss: 0.4515, Plan similarity: 0.0522, Random contrast: 0.6875
Normal loss: 0.4869, Plan similarity: 0.0854, Random contrast: 0.6875
Normal loss: 0.4376, Plan similarity: 0.0532, Random contrast: 0.6797
Normal loss: 0.4138, Plan similarity: 0.2520, Random contrast: 0.6797
Normal loss: 0.4697, Plan similarity: 0.0552, Random contrast: 0.6797
Normal loss: 0.3890, Plan similarity: 0.1475, Random contrast: 0.6914
Normal loss: 0.4439, Plan similarity: 0.2109, Random contrast: 0.6875
Normal loss: 0.3060, Plan similarity: 0.0659, Random contrast: 0.6914
Normal loss: 0.4816, Plan similarity: 0.0596, Random contrast: 0.6875
Normal loss: 0.5182, Plan similarity: 0.6055, Random contrast: 0.6875
Normal loss: 0.4052, Plan similarity: 0.8086, Random contrast: 0.6914
Normal loss: 0.5117, Plan similarity: 2.7812, Random contrast: 0.6914
Normal loss: 0.4421, Plan similarity: 0.0225, Random contrast: 0.6914
Normal loss: 0.3850, Plan similarity: 0.7344, Random contrast: 0.6914
Normal loss: 0.5043, Plan similarity: 5.7500, Random contrast: 0.6914
Normal loss: 0.3961, Plan similarity: 0.9258, Random contrast: 0.6914
Normal loss: 0.4989, Plan similarity: 0.0267, Random contrast: 0.6914
Normal loss: 0.3428, Plan similarity: 0.0415, Random contrast: 0.6914
Normal loss: 0.4541, Plan similarity: 1.4141, Random contrast: 0.6875
Normal loss: 0.3528, Plan similarity: 0.0474, Random contrast: 0.6875
Normal loss: 0.4820, Plan similarity: 0.2617, Random contrast: 0.6914
Normal loss: 0.4714, Plan similarity: 0.0330, Random contrast: 0.6914
Normal loss: 0.5599, Plan similarity: 1.5078, Random contrast: 0.6914
Normal loss: 0.4813, Plan similarity: 6.5000, Random contrast: 0.6914
Normal loss: 0.4276, Plan similarity: 0.0801, Random contrast: 0.6914
Normal loss: 0.3714, Plan similarity: 2.9062, Random contrast: 0.6914
Normal loss: 0.3933, Plan similarity: 3.0625, Random contrast: 0.6914
Normal loss: 0.4233, Plan similarity: 0.0334, Random contrast: 0.6914
Normal loss: 0.3050, Plan similarity: 0.0498, Random contrast: 0.6914
Normal loss: 0.3076, Plan similarity: 0.0688, Random contrast: 0.6914
Normal loss: 0.4505, Plan similarity: 0.6562, Random contrast: 0.6914
Normal loss: 0.4364, Plan similarity: 0.0613, Random contrast: 0.6914
Normal loss: 0.4903, Plan similarity: 0.0454, Random contrast: 0.6914
Normal loss: 0.3861, Plan similarity: 0.0415, Random contrast: 0.6914
Normal loss: 0.5483, Plan similarity: 0.0552, Random contrast: 0.6914
Normal loss: 0.4814, Plan similarity: 1.6328, Random contrast: 0.6914
Normal loss: 0.4082, Plan similarity: 0.0299, Random contrast: 0.6914
Normal loss: 0.4453, Plan similarity: 0.0579, Random contrast: 0.6914
Normal loss: 0.3846, Plan similarity: 6.0625, Random contrast: 0.6914
Normal loss: 0.4651, Plan similarity: 0.0703, Random contrast: 0.6914
Normal loss: 0.3750, Plan similarity: 0.0513, Random contrast: 0.6914
Normal loss: 0.4532, Plan similarity: 0.0796, Random contrast: 0.6914
Normal loss: 0.3493, Plan similarity: 2.3750, Random contrast: 0.6914
Normal loss: 0.3843, Plan similarity: 0.6602, Random contrast: 0.6914
Normal loss: 0.3662, Plan similarity: 0.0449, Random contrast: 0.6914
Normal loss: 0.5393, Plan similarity: 0.0437, Random contrast: 0.6914
Normal loss: 0.3549, Plan similarity: 2.4219, Random contrast: 0.6914
Normal loss: 0.3708, Plan similarity: 0.0430, Random contrast: 0.6914
Normal loss: 0.4077, Plan similarity: 0.0496, Random contrast: 0.6914
Normal loss: 0.3197, Plan similarity: 0.0374, Random contrast: 0.6914
Normal loss: 0.4940, Plan similarity: 0.2100, Random contrast: 0.6914
Normal loss: 0.3076, Plan similarity: 0.0386, Random contrast: 0.6914
Normal loss: 0.4835, Plan similarity: 2.5781, Random contrast: 0.6914
Normal loss: 0.4116, Plan similarity: 0.0405, Random contrast: 0.6914
Normal loss: 0.6159, Plan similarity: 0.0481, Random contrast: 0.6914
Normal loss: 0.3725, Plan similarity: 0.0381, Random contrast: 0.6914
Normal loss: 0.4678, Plan similarity: 0.0591, Random contrast: 0.6914
Normal loss: 0.4984, Plan similarity: 0.0432, Random contrast: 0.6914
Normal loss: 0.3535, Plan similarity: 0.0454, Random contrast: 0.6914
Normal loss: 0.3744, Plan similarity: 0.0352, Random contrast: 0.6914
Normal loss: 0.4191, Plan similarity: 0.8398, Random contrast: 0.6914
Normal loss: 0.3546, Plan similarity: 0.0288, Random contrast: 0.6914
Normal loss: 0.3197, Plan similarity: 0.0464, Random contrast: 0.6914
Normal loss: 0.5656, Plan similarity: 0.0405, Random contrast: 0.6914
Normal loss: 0.2891, Plan similarity: 2.6250, Random contrast: 0.6914
Normal loss: 0.3802, Plan similarity: 0.0247, Random contrast: 0.6914
Normal loss: 0.4408, Plan similarity: 0.0542, Random contrast: 0.6914
Normal loss: 0.2834, Plan similarity: 2.2969, Random contrast: 0.6914
Normal loss: 0.3604, Plan similarity: 0.0508, Random contrast: 0.6914
Normal loss: 0.3931, Plan similarity: 0.0425, Random contrast: 0.6914
Normal loss: 0.4149, Plan similarity: 0.0410, Random contrast: 0.6914
Normal loss: 0.4811, Plan similarity: 0.0518, Random contrast: 0.6875
Normal loss: 0.3550, Plan similarity: 2.8906, Random contrast: 0.6914
Normal loss: 0.3965, Plan similarity: 2.1406, Random contrast: 0.6914
Normal loss: 0.4441, Plan similarity: 0.0334, Random contrast: 0.6914
Normal loss: 0.3749, Plan similarity: 0.0552, Random contrast: 0.6914
Normal loss: 0.2926, Plan similarity: 0.0459, Random contrast: 0.6914
Normal loss: 0.5061, Plan similarity: 1.8750, Random contrast: 0.6875
Normal loss: 0.4303, Plan similarity: 0.0825, Random contrast: 0.6875
Normal loss: 0.5284, Plan similarity: 5.1875, Random contrast: 0.6875
Normal loss: 0.4349, Plan similarity: 0.1738, Random contrast: 0.6875
Normal loss: 0.4654, Plan similarity: 0.1533, Random contrast: 0.6797
Normal loss: 0.5925, Plan similarity: 2.7812, Random contrast: 0.6875
Normal loss: 0.4606, Plan similarity: 0.2441, Random contrast: 0.6797
Normal loss: 0.4581, Plan similarity: 3.9062, Random contrast: 0.6641
Normal loss: 0.5624, Plan similarity: 0.3438, Random contrast: 0.6719
Normal loss: 0.4551, Plan similarity: 0.6758, Random contrast: 0.6484
Normal loss: 0.3938, Plan similarity: 0.5898, Random contrast: 0.6836
Normal loss: 0.4494, Plan similarity: 0.6250, Random contrast: 0.6797
Normal loss: 0.5139, Plan similarity: 0.5195, Random contrast: 0.6641
Normal loss: 0.4778, Plan similarity: 0.5508, Random contrast: 0.6875
Normal loss: 0.4646, Plan similarity: 0.6719, Random contrast: 0.6875
Normal loss: 0.4943, Plan similarity: 0.5781, Random contrast: 0.6875
